"date","name","url","location","organisation_name","hidden","updated_at"
"2018-11-29","Stephen Reid on Psychedelics, Extinction Rebellion and Metamodernism: Reconnecting with Nature in These Urgent Times","http://www.thefutureisbeautiful.co/2018/11/29/e41-stephen-reid-on-psychedelics-extinction-rebellion-and-metamodernism-reconnecting-with-nature-in-these-urgent-times/?fbclid=IwAR1vKX1S1Ij8NkArkHYy1Ldxvt56bapYDtaFgYQ57b73aJDAGqu13ly1zXM&utm_source=discussion_mailer&utm_medium=email&utm_campaign=discussion_announced","","The Future Is Beautiful","","2022-02-07T13:05:10.000Z"
"2018-11-01","Extinction Magic: A Grief Ritual for Rebellion","https://www.facebook.com/events/281776239130479/","Parliament Square","","",""
"2018-10-09","Using Psychedelics For Mental Health","https://innertruth.org/podcast/using-psychedelics-for-mental-health-with-stephen-reid/","","Inner Truth","","2022-02-07T13:04:32.000Z"
"2018-10-01","Grand Opening of the Psychedelic Society's new space in London","https://www.facebook.com/events/1091865520971010/","","The Psychedelic Society","","2021-06-23T10:55:38.000Z"
"2018-10-01","Stephen Reid and Daniel Thorson","https://open.spotify.com/episode/1HuvAyFHaBAmpYj29BvHxa?si=evyU6-3PT16u2g32ge67Mw","","Alter Ego","","2022-02-07T13:04:24.000Z"
"2018-07-30","The Psychedelic Renaissance","https://anchor.fm/emerge/episodes/Stephen-Reid---Psychedelic-Renaissance-e1t4jt","","Emerge","","2022-09-26T20:48:24.000Z"
"2018-07-01","Psychedelics, Nonduality and the Nature of Consciousness","http://www.noisilyfestival.com/mind-body-and-soul/talks-and-workshops/","Noisily Festival","Noisily","","2019-10-04T10:36:59.000Z"
"2018-07-01","Launch of the Psychedelics for Mental Health campaign","https://www.independent.co.uk/news/long_reads/psychedelic-drugs-new-class-antidepressant-albert-hofmann-lsd-a8437201.html","","The Psychedelic Society","","2021-06-23T10:55:38.000Z"
"2018-07-01","Psychedelic Integration","https://www.boomfestival.org/boom2018/program/ngo-django/psychedelic-society/","Boom Festival","Boom","","2019-10-04T10:36:56.000Z"
"2018-06-01","Psychedelics, Democracy and Reform","http://beyondpsychedelics.cz/","","Beyond Psychedelics","","2022-09-26T20:39:25.000Z"
"2018-05-01","A Long Strange Trip","https://hay.htlgi.iai.tv/events/a-long-strange-trip-2144","HowTheLightGetsIn","HowTheLightGetsIn Festival","","2022-02-07T13:04:59.000Z"
"2018-04-01","Growing A Psychedelic Society","https://www.lsd75.ch/reid","LSD75","","",""
"2017-10-01","Psychedelics and Mystical Experience","https://www.new-unity.org/eventslist/2017/10/22/psychedelics-and-mystical-experience","","New Unity","","2022-09-26T20:40:51.000Z"
"2016-12-01","The Legal Regulation of Psychedelics","https://www.youtube.com/watch?v=nSz2AhQr52k","Conway Hall","The Psychedelic Society","","2021-06-23T10:55:38.000Z"
"2016-11-01","Launch of the Psychedelic Society of Brighton","https://www.facebook.com/events/1825383351076287/","","The Psychedelic Society","","2021-06-23T10:55:38.000Z"
"2016-09-01","Growing A Psychedelic Society","http://beyondpsychedelics.cz/wp-content/uploads/2016/09/program.pdf","","Beyond Psychedelics","","2022-09-26T20:39:30.000Z"
"2016-07-01","Psychedelics and Nonduality","https://www.youtube.com/watch?v=iIFkSIfbObA","Conway Hall","The Psychedelic Society","","2021-06-23T10:55:38.000Z"
"2016-02-01","This House believes that taking recreational drugs is worth the risk","https://cus.org/civicrm/event/info?reset=1&id=1193","Cambridge Union","","",""
"2015-07-01","Launch of the Psychedelic Society of Bristol","https://www.facebook.com/events/680897688721957/","","The Psychedelic Society","","2021-06-23T10:55:38.000Z"
"2015-06-01","Launch of the Psychedelic Society of Manchester","https://www.facebook.com/events/1441441909485474/","","The Psychedelic Society","","2021-06-23T10:55:38.000Z"
"2015-04-01","Launch of the Psychedelic Society of Edinburgh","https://www.facebook.com/events/469141256573445/","","The Psychedelic Society","","2021-06-23T10:55:38.000Z"
"2014-11-01","Mainstreaming Psychedelics (launch of The Psychedelic Society)","https://www.facebook.com/events/579511348820249/","Conway Hall","The Psychedelic Society","","2022-09-26T20:47:20.000Z"
"2012-09-23","Black tie activists crash HMRC boss' retirement do","https://www.youtube.com/watch?v=3w4tcIsaInE","","The Intruders","","2025-04-04T05:27:57.000Z"
