Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
13235686,Active Hope: How to Face the Mess We're in without Going Crazy,Joanna Macy,"Macy, Joanna",Chris Johnstone,"=""1577319729""","=""9781577319726""",0,4.10,New World Library,Paperback,272,2012,2012,,2019/03/03,to-read,to-read (#88),to-read,,,,0,0
29774026,"The Priory of the Orange Tree (The Roots of Chaos, #1)",Samantha Shannon,"Shannon, Samantha",,"=""""","=""""",0,4.17,Bloomsbury Publishing,ebook,848,2019,2019,,2019/03/03,to-read,to-read (#87),to-read,,,,0,0
52397,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,"Butler, Octavia E.",,"=""0446675504""","=""9780446675505""",0,4.20,Grand Central Publishing,Paperback,345,2000,1993,,2019/03/03,to-read,to-read (#86),to-read,,,,0,0
60929,"Dawn (Xenogenesis, #1)",Octavia E. Butler,"Butler, Octavia E.",,"=""0446603775""","=""9780446603775""",0,4.15,Warner Books,Paperback,248,1997,1987,,2019/03/03,to-read,to-read (#85),to-read,,,,0,0
6543681,Conversations with Octavia Butler,Octavia E. Butler,"Butler, Octavia E.",Conseula Francis,"=""1604732768""","=""9781604732764""",0,4.50,University Press of Mississippi,Paperback,288,2009,2009,,2019/03/03,to-read,to-read (#84),to-read,,,,0,0
23129839,Octavia's Brood: Science Fiction Stories from Social Justice Movements,Adrienne Maree Brown,"Brown, Adrienne Maree","Walidah Imarisha, Sheree Renée Thomas, Bao Phi, David F. Walker, Alexis Pauline Gumbs, Morrigan Phillips, Gabriel Teodros, Tunde Olaniran, Dawolu Jabari Anderson, Tara Betts, Vagabond, Jelani Wilson, Kalamu ya Salaam, LeVar Burton, Terry Bisson, Dani McClain, Leah Lakshmi Piepzna-Samarasinha, Mumia Abu-Jamal, Tananarive Due, Autumn Brown, Alixa Garcia, Mia Mingus","=""1849352097""","=""9781849352093""",0,3.93,AK Press,Paperback,296,2015,2015,,2019/03/03,to-read,to-read (#83),to-read,,,,0,0
80689,"The Fifth Sacred Thing (Maya Greenwood, #1)",Starhawk,"Starhawk, Starhawk",,"=""0553373803""","=""9780553373806""",0,4.22,Bantam,Paperback,486,1994,1993,,2019/02/13,to-read,to-read (#82),to-read,,,,0,0
33533709,Awakening through the Nine Bodies: Exploring Levels of Consciousness in Meditation,Phillip Moffitt,"Moffitt, Phillip",,"=""1623171903""","=""9781623171902""",0,4.30,North Atlantic Books,Paperback,256,2017,,,2019/02/08,to-read,to-read (#81),to-read,,,,0,0
358540,The Bhagavad Gita,Krishna-Dwaipayana Vyasa,"Vyasa, Krishna-Dwaipayana",Eknath Easwaran,"=""""","=""9781586380199""",0,4.19,Nilgiri Press,Paperback,294,2007,-400,,2018/02/19,to-read,to-read (#14),to-read,,,,0,0
39351469,The 4-Hour Work Week,Timothy Ferriss,"Ferriss, Timothy",,"=""""","=""""",0,3.91,,Unknown Binding,411,,2007,,2019/01/29,to-read,to-read (#80),to-read,,,,0,0
